FL,cruiseTAS,cruiseLo,cruiseNom,cruiseHi,climbTAS,climbLo,climbNom,climbHi,climbFFNom,descentTAS,descentNom,descentFF
   0,   -1,   -1,   -1,   -1, 178, 2327, 1956, 719, 232.1, 165, 1154, 58.7
  5 ,   -1,   -1,   -1,   -1, 179, 2317, 1945, 707, 230.4, 166, 1168, 58.3
 10 ,   -1,   -1,   -1,   -1, 180, 2307, 1934, 694, 228.8, 172, 1224, 58.1
 15 ,   -1,   -1,   -1,   -1, 187, 2380, 1988, 739, 227.9, 184,  998, 20.3
 20 ,   -1,   -1,   -1,   -1, 188, 2368, 1976, 726, 226.2, 216, 1006, 20.6
 30 ,  230, 55.7, 68.2, 80.3, 212, 2643, 2183, 898, 226.2, 230, 1045, 20.4
 40 ,  233, 55.8, 68.4, 80.5, 247, 2964, 2413, 080, 227.7, 233, 1064, 20.1
 60 ,  272, 63.8, 73.8, 83.5, 272, 3153, 2436, 018, 223.6, 272, 1172, 15.5
 80 ,  280, 64.0, 74.1, 83.9, 280, 3057, 2352, 938, 216.6, 280, 1208, 15.1
100 ,  289, 64.3, 74.5, 84.4, 357, 2930, 2286, 913, 219.2, 357, 1871, 14.7
120 ,  297, 64.5, 74.8, 84.8, 367, 2786, 2162, 799, 211.9, 367, 1834, 14.3
140 ,  378, 88.8, 96.0,102.9, 378, 2635, 2032, 680, 204.6, 378, 1877, 13.9
160 ,  389, 89.0, 96.3,103.3, 389, 2477, 1896, 555, 197.2, 389, 1919, 13.4
180 ,  401, 89.2, 96.5,103.7, 401, 2311, 1754, 424, 189.7, 401, 1961, 13.0
200 ,  413, 89.3, 96.8,104.1, 413, 2139, 1606, 287, 182.1, 413, 2003, 12.6
220 ,  425, 89.4, 97.0,104.4, 425, 1959, 1452, 145, 174.3, 425, 2043, 12.2
240 ,  438, 89.5, 97.3,104.8, 438, 1772, 1292, 998, 166.5, 438, 2082, 11.8
260 ,  452, 89.6, 97.5,105.1, 452, 1578, 1126, 845, 158.6, 452, 2120, 11.4
280 ,  466, 89.6, 97.7,105.4, 466, 1378,  954, 687, 150.5, 466, 2157, 10.9
290 ,  473, 89.6, 97.7,105.6, 473, 1275,  866, 606, 146.5, 473, 2175, 10.7
310 ,  487, 89.6, 97.9,105.9, 487, 1065,  686, 440, 138.2, 487, 2209, 10.3
330 ,  489, 85.3, 94.2,102.9, 489, 1371,  826, 466, 128.7, 489, 3121,  9.9
350 ,  484, 80.0, 89.8, 99.2, 484, 1360,  695, 294, 118.8, 484, 2965,  9.5
370 ,  482, 75.4, 86.2, 96.6, 482, 1042,  451,  89, 109.1, 482, 2583,  9.1
390 ,  482, 71.7, 83.5, 95.0, 482,  828,  249,   0,  99.5, 482, 2519,  8.6
410 ,  482, 68.6, 81.6, 94.2, 482,  585,   20,   0,  90.0, 482, 2481,  8.2
430 ,  482, 66.1, 80.4, 94.3, 482,  315,    0,   0,  80.4, 482, 2468,  7.8
431 ,  482, 66.0, 80.4, 94.4, 482,  300,    0,   0,  79.9, 482, 2468,  7.8