model,casLoClimb,casHiClimb,casLoCruise,casHiCruise,casLoDescent,casHiDescent,machClimb,machCruise,machDescent,mlLo,mlNom,mlHi,maxAlt,obs
A318,250,300,250,300,250,290,0.78,0.78,0.78,46031,59000,68000,41000,
A319,250,310,250,300,250,300,0.78,0.78,0.79,48000,60000,70000,41000,
A320,250,310,250,310,250,300,0.78,0.78,0.79,46800,64000,77000,41000,
A321,250,310,250,300,250,300,0.78,0.78,0.78,57360,72000,83000,39100,
A330,250,310,250,310,250,310,0.82,0.82,0.82,144720,190000,230000,41000,Adapted from BADA A330-200 model; this model does not have F cabin seats;
A340,250,290,250,310,250,300,0.8,0.8,0.82,157200,225000,276500,41500,Adapted from BADA A340-300 model; this model has the most approx. seat no.
B737300,250,300,250,300,250,290,0.76,0.74,0.74,39480,52500,62800,39000,
B737400,250,290,250,280,250,290,0.74,0.74,0.74,41784,58000,68000,37000,
B737800,250,300,250,280,250,290,0.78,0.78,0.78,49380,65300,78300,41000,
B737900,250,300,250,280,250,300,0.79,0.79,0.79,53611,71651,85139,41000,
B747,250,320,250,340,250,310,0.82,0.86,0.86,207120,255800,356000,45000,"In a passenger configuration, the -200B has a tri-class seat capacity of 360-420 seats. The 747-300s tri-class capacity is typically about 20-30 seats more."
B777,250,310,250,310,250,300,0.84,0.84,0.84,191520,237600,299300,43100,High descrepancies in the seating capacity from ROADEF: 12/56/200 vs. 0/14/442; B777-300 has the most approx. seat. No.
BAE200,250,260,250,295,250,280,0.6,0.65,0.66,29538,36000,42184,31000,BAE 146-200: B462; has the most approx. seat. No.
BAE300,250,260,250,295,250,280,0.6,0.67,0.66,29802,38000,44225,31000,
CRJ100,250,270,250,290,250,300,0.74,0.74,0.76,17760,21000,24000,41000,CRJ1
CRJ700,250,290,250,300,250,290,0.74,0.8,0.74,26640,33640,38000,41000,CRJ9
ERJ135,240,270,240,270,240,250,0.63,0.6,0.78,13800,17000,19990,37000,Embraer ERJ-135: E135
ERJ145,240,270,240,270,240,300,0.62,0.76,0.78,14520,18500,22000,37000,
F100,250,280,250,280,250,300,0.7,0.7,0.72,29520,38000,43090,35000,